"city","state","name"
"0910",9,"Puren"
"0911",9,"Los Sauces"
"0912",9,"Lautaro"
"0913",9,"Perquenco"
"0914",9,"Vilcun"
"0915",9,"Cunco"
"0916",9,"Melipeuco"
"0917",9,"Curarrehue"
"0918",9,"Pucon"
"0919",9,"Villarrica"
"0920",9,"Freire"
"0921",9,"Pitrufquen"
"0922",9,"Gorbea"
"0923",9,"Loncoche"
"0924",9,"Tolten"
"0925",9,"Teodoro Schmidt"
"0926",9,"Puerto Saavedra"
"0927",9,"Carahue"
"0928",9,"Nueva Imperial"
"0929",9,"Galvarino"
"0930",9,"Temuco"
"0931",9,"Padre Las Casas"
"0932",9,"Cholchol"
"1003",10,"Osorno"
"1004",10,"Puerto Montt"
"1005",10,"Puerto Varas"
"1016",10,"San Pablo"
"1018",10,"Puerto Octay"
"1019",10,"Purranque"
"1020",10,"Rio Negro"
"1021",10,"San Juan De La Costa"
"1022",10,"Cochamo"
"1023",10,"Calbuco"
"1024",10,"Maullin"
"1025",10,"Los Muermos"
"1026",10,"Fresia"
"1027",10,"Llanquihue"
"1028",10,"Frutillar"
"1029",10,"Castro"
"1030",10,"Ancud"
"1031",10,"Quemchi"
"1032",10,"Dalcahue"
"1033",10,"Curaco De Velez"
"1034",10,"Quinchao"
"1035",10,"Puqueldon"
"1036",10,"Chonchi"
"1037",10,"Queilen"
"1038",10,"Quellon"
"1039",10,"Chaiten"
"1040",10,"Hualaihue"
"1041",10,"Futaleufu"
"1042",10,"Palena"
"1063",10,"Puerto Varas (Ensenada)"
"1064",10,"Puerto Montt (Chamiza)"
"1065",10,"Puerto Montt (Piedra Azul)"
"1066",10,"Puerto Montt (Quillaipe)"
"1101",11,"Coihaique"
"1102",11,"Aisen"
"1103",11,"Lago Verde"
"1104",11,"Puerto Cisnes"
"1105",11,"Islas Guaitecas"
"1106",11,"Chile Chico"
"1107",11,"Rio Ibañez"
"1108",11,"Cochrane"
"1109",11,"O'Higgins"
"1110",11,"Caleta Tortel"
"1201",12,"Punta Arenas"
"1301",13,"Santiago"
"1302",13,"Recoleta"
"1303",13,"Vitacura"
"1304",13,"Huechuraba"
"1305",13,"Quinta Normal"
"1306",13,"Pudahuel"
"1307",13,"Renca"
"1308",13,"Conchali"
"1309",13,"Providencia"
"1310",13,"Las Condes"
"1311",13,"Nunoa"
"1312",13,"La Reina"
"1313",13,"San Miguel"
"1314",13,"La Cisterna"
"1315",13,"La Granja"
"1316",13,"Maipu"
"1317",13,"La Florida"
"1318",13,"San Ramon"
"1319",13,"Lo Barnechea"
"1320",13,"Macul"
"1321",13,"El Bosque"
"1322",13,"Pedro Aguirre Cerda"
"1323",13,"Lo Espejo"
"1324",13,"Estacion Central"
"1325",13,"Cerrillos"
"1327",13,"La Pintana"
"1328",13,"Lo Prado"
"1329",13,"Cerro Navia"
"1330",13,"San Bernardo"
"1331",13,"Puente Alto"
"1332",13,"Quilicura"
"1333",13,"Buin"
"1334",13,"Colina"
"1335",13,"Talagante"
"1336",13,"Penaflor"
"1337",13,"Paine (Maipo)"
"1338",13,"Calera De Tango"
"1339",13,"Melipilla"
"1340",13,"Curacavi"
"1341",13,"El Monte"
"1342",13,"Padre Hurtado"
"1343",13,"Paine (Linderos)"
"1344",13,"Penalolen"
"1345",13,"Til Til"
"1346",13,"Paine"
"1347",13,"Lampa"
"1352",13,"San Jose De Maipo (Cajon Del Maipo)"
"1353",13,"San Jose De Maipo"
"1354",13,"Pirque (Nos)"
"1355",13,"Pirque"
"1356",13,"Independencia"
"1357",13,"San Joaquin"
"1358",13,"Maria Pinto"
"1359",13,"Buin (Malloco)"
"1360",13,"Isla De Maipo"
"1362",13,"Alhue"
"1363",13,"San Pedro"
"1364",13,"Lo Barnechea (La Parva)"
"1365",13,"Lo Barnechea (El Colorado)"
"1366",13,"Lo Barnechea (Valle Nevado)"
"1367",13,"Lo Barnechea (Farellones)"
"1369",13,"Lo Barnechea (La Dehesa)"
"1401",14,"Corral"
"1402",14,"Lanco"
"1403",14,"Los Lagos"
"1404",14,"Mafil"
"1405",14,"Mariquina"
"1406",14,"Paillaco"
"1407",14,"Panguipulli"
"1408",14,"Valdivia"
"1409",14,"Futrono"
"1410",14,"La Union"
"1411",14,"Lago Ranco"
"1412",14,"Rio Bueno"
"1413",14,"Valdivia (Niebla)"
"1414",14,"Mariquina (Los Molinos)"
